787	第30屆金曲獎	230607
788	威爾·史密斯	230128
789	分裂 (電影)	229642
790	2019年6月反對逃犯條例修訂草案遊行	229584
791	赵敏	229344
792	斯蒂芬·科里	229310
793	新入史官丘海昤	229114
794	中途岛海战	228198
795	郭富城	228069
796	千与千寻	227776
797	Fate/Grand Order	227745
798	宋雨琦	226960
799	復仇者聯盟2：奧創紀元	226859
800	法證先鋒	226306
801	胡一天	226239
802	吴倩 (演员)	226190
803	雷神索爾3：諸神黃昏	225671
804	小丑 (角色)	225650
805	王俊凯	225311
806	PSYCHO-PASS	225253
807	喜歡本大爺的竟然就妳一個？	225156
808	李千那	224978
809	物联网	224630
810	新西兰	224610
811	張小燕 (臺灣)	224492
812	吳婉君	224066
813	鍾明軒	223556
814	盾之勇者成名錄角色列表	223417
815	復活節	223381
816	只要長得可愛，即使是變態你也喜歡嗎？	223226
817	謝霆鋒	223058
818	Kill It	223019
819	張娜拉	222909
820	馬俊麟	222555
821	邱澤	222522
822	豹貓	222327
823	金城武	222114
824	布丽·拉尔森	220375
825	奇異博士 (電影)	219450
826	我的真朋友	218808
827	陳信宏	218287
828	偶像練習生	218253
829	星夢情深	218233
830	射雕英雄传 (2017年电视剧)	217936
831	勝利 (歌手)	217278
832	泰勒·斯威夫特	217076
833	掃毒2天地對決	217072
834	AOA	217010
835	李奈映	216831
836	陽光普照	216105
837	荷兰	215580
838	黑豹 (電影)	215503
839	孟晚舟	215487
840	夜空中最闪亮的星	215435
841	二十國集團	215285
842	張曦雯	215219
843	馮提莫	214946
844	李明哲事件	214864
845	五四运动	214389
846	殷离	214101
847	性愛自修室	213742
848	孫藝真	212856
849	茅子俊	212582
850	文森特·梵高	212566
851	小昭	212264
852	蒙上你的眼	210934
853	蕭若元	210051
854	星際大戰	209832
855	蔣渭水	209563
856	天皇	209482
857	杉原千畝	209129
858	放浪兄弟	208508
859	史帝夫·厄文	207417
860	Signal (電視劇)	207235
861	以團之名	207144
862	忠孝節義	206941
863	我獨自生活	206672
864	香港特別行政區基本法第二十三條	206189
865	馮偉衷	206184
866	各国人均国民总收入列表	205675
867	鄭捷 (臺灣)	205647
868	臺灣白色恐怖時期	205544
869	北京大兴国际机场	205492
870	哪吒之魔童降世	205207
871	李佳芬	205119
872	應采兒	204154
873	陳奕迅	203734
874	UNNATURAL	203604
875	讓愛與和平佔領中環	203158
876	F-16戰隼戰鬥機	203118
877	未來戰士：黑暗命運	203047
878	科怀·伦纳德	202432
879	熱血祭司	202126
880	奔跑吧兄弟	202018
881	認識的妻子	201953
882	佘詩曼	201847
883	初恋那件小事 (电视剧)	201211
884	安妮·海瑟薇	201045
885	林秀晶	200335
886	金惠允	199593
887	黄浦江死猪漂流事件	199537
888	鄭南榕	199439
